In school in 2024/2025,Offer Class Trip,School,Grades,Address,Principal,Phone,E-Mail,Family of School,KM's to School,E-mail x-mas kick off,Offer Weekly,Contacted,District,emailed re class trips,Email,VP,Unnamed: 8,Emailed,Follow up email,2025 outreach,Phoned,Booked,2025 outreach - class trip,2024 EOY Event,Unnamed: 0,__full_addr__,lat,lon,Status
,2025-03-28,Aldershot Elementary,PP - 5,"446 Aldershot Rd. Kentville, Nova Scotia B4N 3V9, Canada",Jan Routledge,902-690-3820,aes@avrce.ca,AVRCE,95 KM,2024-11-13 0:00:00,,,AVRCE,,,,,,,,,,,,,"446 Aldershot Rd. Kentville, Nova Scotia B4N 3V9, Canada",45.0904227,-64.5003904,none
,2025-03-28,Annapolis East Elementary,PP - 5,"325 Marshall St. Box 640 Middleton, Nova Scotia B0S 1P0, Canada",Nancy Illsley,902-825-5330,aees@avrce.ca,AVRCE,142 KM,2024-11-13 0:00:00,,,AVRCE,,,,,,,,,,,,,"325 Marshall St. Middleton, Nova Scotia B0S 1P0, Canada",44.9467558,-65.0663194,none
,2025-03-28,Berwick and District,PP - 8,"249 Veterans Drive Box 40 Berwick, Nova Scotia B0P 1E0, Canada",Krista-Lynn Parrish,902-538-4720,bds@avrce.ca,AVRCE,114 KM,2024-11-13 0:00:00,,,AVRCE,,,,,,,,,,,,,"249 Veterans Drive Berwick, Nova Scotia B0P 1E0, Canada",45.0444821,-64.7428901,none
,2025-03-28,Bridgetown Regional Community,PP - 12,"25 Cromwell Court Bridgetown, Nova Scotia B0S 1C0, Canada",Darlene Thomas,902-665-5400,brcs@avrce.ca,AVRCE,164 KM,2024-11-13 0:00:00,,,AVRCE,,,,,,,,,,,,,"25 Cromwell Court Bridgetown, Nova Scotia B0S 1C0, Canada",44.8402977,-65.2757869,none
,2025-03-28,Brooklyn District Elementary,PP - 5,"8008 Highway 14, Newport, Nova Scotia, Canada",Brenda Mullins,902-727-4120,bdes@avrce.ca,AVRCE,53 KM,2024-11-13 0:00:00,,,AVRCE,,,,,,,,,,,,,"8008 Highway 14, Newport, Nova Scotia, Canada",45.01305812,-64.00847714,none
,2025-03-28,Cambridge and District Elementary,PP - 5,"6113 Highway 1, Cambridge Station, Nova Scotia, Canada",Jill Reese,902-538-4680,cdes@avrce.ca,AVRCE,103 KM,2024-11-13 0:00:00,,,AVRCE,,,,,,,,,,,,,"6113 Highway 1, Cambridge Station, Nova Scotia, Canada",45.05844825,-64.63226854,none
,2025-03-28,Champlain Elementary,PP - 5,"109 North Street, Granville Ferry, Nova Scotia, B0S 1G0, Canada",Jan Ross,902-532-3270,ces@avrce.ca,AVRCE,187 KM,2024-11-13 0:00:00,,,AVRCE,,,,,,,,,,,,,"109 North Street, Granville Ferry, Nova Scotia, B0S 1G0, Canada",44.7531289,-65.5226465,none
,2025-03-28,Clark Rutherford Memorial School,PP - 5,"234 Spinnaker Drive, Cornwallis Park, Nova Scotia B0S 1H0, Canada",Sharon Reid,902-638-4800,crms@avrce.ca,AVRCE,207 KM,2024-11-13 0:00:00,,,AVRCE,,,,,,,,,,,,,"234 Spinnaker Drive, Cornwallis Park, Nova Scotia B0S 1H0, Canada",44.6507819,-65.6291646,none
,2025-03-28,Coldbrook and District School,PP - 8,"2305 English Mountain Road, Coldbrook, Nova Scotia, B4R 1B6, Canada",Cherrie Goss,902-690-3830,cds@avrce.ca,AVRCE,100 KM,2024-11-13 0:00:00,,,AVRCE,,,,,,,,,,,,,"2305 English Mountain Road, Coldbrook, Nova Scotia, B4R 1B6, Canada",45.0581865,-64.5867727,none
,2025-03-28,Dr Arthur Hines School,PP - 5,"75 Musgrave Road Summerville, Nova Scotia B0N 2K0, Canada",Shelley Regan,902-633-6300,dahs@avrce.ca,AVRCE,71 KM,2024-11-13 0:00:00,,,AVRCE,,,,,,,,,,,,,"75 Musgrave Road Summerville, Nova Scotia B0N 2K0, Canada",45.0984433,-64.1664332,none
,2025-03-28,Dwight Ross School,PP - 5,"949 Tremont Mountain Road Box 1420 Greenwood, Nova Scotia B0P 1N0, Canada",Paula Shehata,902-765-7510,drs@avrce.ca,AVRCE,134 KM,2024-11-13 0:00:00,,,AVRCE,,,,,,,,,,,,,"949 Tremont Mountain Road Greenwood, Nova Scotia B0P 1N0, Canada",44.9645649,-64.941266,none
