In school in 2024/2025,Offer Class Trip,School,Grades,Address,Principal,Phone,E-Mail,Family of School,KM's to School,E-mail x-mas kick off,Offer Weekly,Contacted,District,emailed re class trips,Email,VP,Unnamed: 7,Emailed,Follow up email,2025 outreach,Phoned,Booked,Unnamed: 0,2025 outreach - class trip,2024 EOY Event,__full_addr__,lat,lon
,2025-03-28,Aldershot Elementary,PP - 5,446 Aldershot Rd. PO Box 67 Kentville NS B4N 3V9,Jan Routledge,902-690-3820,aes@avrce.ca,AVRCE,95 KM,2024-11-13 00:00:00,,,AVRCE,,,,,,,,,,,,,"446 Aldershot Rd. PO Box 67 Kentville NS B4N 3V9, Canada",,
,2025-03-28,Annapolis East Elementary,PP - 5,325 Marshall St. Box 640 Middleton NS B0S 1P0,Nancy Illsley,902-825-5330,aees@avrce.ca,AVRCE,142 KM,2024-11-13 00:00:00,,,AVRCE,,,,,,,,,,,,,"325 Marshall St. Box 640 Middleton NS B0S 1P0, Canada",,
,2025-03-28,Berwick and District,PP - 8,249 Veterans Drive Box 40 Berwick NS B0P 1E0,Krista-Lynn Parrish,902-538-4720,bds@avrce.ca,AVRCE,114 KM,2024-11-13 00:00:00,,,AVRCE,,,,,,,,,,,,,"249 Veterans Drive Box 40 Berwick NS B0P 1E0, Canada",,
,2025-03-28,Bridgetown Regional Community ,PP - 12,25 Cromwell Court Bridgetown NS B0S 1C0,Darlene Thomas,902-665-5400,brcs@avrce.ca,AVRCE,164 KM,2024-11-13 00:00:00,,,AVRCE,,,,,,,,,,,,,"25 Cromwell Court Bridgetown NS B0S 1C0, Canada",,
,2025-03-28,Brooklyn District Elementary,PP - 5,8008 Highway 14 Newport NS ,Brenda Mullins,902-727-4120,bdes@avrce.ca,AVRCE,53 KM,2024-11-13 00:00:00,,,AVRCE,,,,,,,,,,,,,"8008 Highway 14 Newport NS, Canada",,
,2025-03-28,Cambridge and District Elementary,PP - 5,6113 Highway 1 Cambridge Stn. NS B0P 1G0,Jill Reese,902-538-4680,cdes@avrce.ca,AVRCE,103 KM,2024-11-13 00:00:00,,,AVRCE,,,,,,,,,,,,,"6113 Highway 1 Cambridge Stn. NS B0P 1G0, Canada",,
,2025-03-28,Champlain Elementary,PP - 5,109 North Street Box 130 Granville Ferry NS B0S 1K0,Jan Ross,902-532-3270,ces@avrce.ca,AVRCE,187 KM,2024-11-13 00:00:00,,,AVRCE,,,,,,,,,,,,,"109 North Street Box 130 Granville Ferry NS B0S 1K0, Canada",,
,2025-03-28,Clark Rutherford Memorial School,PP - 5,234 Spinnaker Drive Box 70 Clementsport NS B0S 1E0,Sharon Reid,902-638-4800,crms@avrce.ca,AVRCE,207 KM,2024-11-13 00:00:00,,,AVRCE,,,,,,,,,,,,,"234 Spinnaker Drive Box 70 Clementsport NS B0S 1E0, Canada",,
,2025-03-28,Coldbrook and District School,PP - 8,2305 English Mountain Road Coldbrook NS B4R 1B6,Cherrie Goss,902-690-3830,cds@avrce.ca,AVRCE,100 KM,2024-11-13 00:00:00,,,AVRCE,,,,,,,,,,,,,"2305 English Mountain Road Coldbrook NS B4R 1B6, Canada",,
,2025-03-28,Dr Arthur Hines School,PP - 5,75 Musgrave Road Summerville NS B0N 2K0,Shelley Regan,902-633-6300,dahs@avrce.ca,AVRCE,71 KM,2024-11-13 00:00:00,,,AVRCE,,,,,,,,,,,,,"75 Musgrave Road Summerville NS B0N 2K0, Canada",45.0984433,-64.1664332
,2025-03-28,Dwight Ross School,PP - 5,949 Tremont Mountain Road Box 1420 Greenwood NS B0P 1N0,Paula Shehata,902-765-7510,drs@avrce.ca,AVRCE,134 KM,2024-11-13 00:00:00,,,AVRCE,,,,,,,,,,,,,"949 Tremont Mountain Road Box 1420 Greenwood NS B0P 1N0, Canada",,
y,,Falmouth District,PP - 5,30 School Street Falmouth NS B0P 1L0,Kim Frank,902-792-6710,fds@avrce.ca,AVRCE,59 KM,2024-11-13 00:00:00,,,AVRCE,,,,,,,,,,,,,"30 School Street Falmouth NS B0P 1L0, Canada",,
